country	year	january	february	march	april	may	june	july	august	september	october	november	december
France	1950	4.0	2.0	8.6	7.7	15.1	18.4	21.0	25.1	15.7	9.3	9.6	2.8
France	1951	1.8	0.7	6.1	6.9	10.5	18.6	18.4	28.6	11.0	13.0	4.3	1.9
France	1952	2.8	3.2	11.6	11.9	13.7	24.4	27.0	26.4	10.4	12.6	8.3	0.4
France	1953	-4.8	2.6	11.2	13.2	10.8	19.0	19.5	25.9	16.0	5.2	8.8	-0.5
France	1954	-0.2	-0.7	4.3	6.0	17.8	15.2	24.3	21.4	12.7	13.9	7.2	0.8
France	1955	-1.8	-0.5	11.0	6.2	10.6	22.8	19.5	29.7	16.7	12.2	7.6	-3.8
France	1956	3.7	5.2	7.4	5.7	13.9	19.7	28.2	28.0	17.5	9.9	9.9	-4.4
France	1957	-2.4	-2.3	5.5	6.5	13.3	18.2	25.4	29.1	14.0	7.2	1.1	3.3
France	1958	-3.1	0.5	4.2	11.3	17.5	18.1	23.4	29.3	13.6	14.7	4.1	4.3
France	1959	-0.5	1.6	6.0	13.2	17.0	20.2	28.3	20.6	13.8	11.9	5.4	4.9
France	1960	3.9	4.5	9.9	13.9	13.8	18.2	27.9	26.5	12.1	5.8	0.2	1.5
France	1961	-0.2	-3.0	9.5	6.0	15.4	17.5	20.5	20.5	18.5	6.6	1.0	0.9
France	1962	3.4	3.3	10.9	6.8	17.2	21.6	22.4	26.8	11.4	9.9	4.7	0.3
France	1963	-3.0	4.9	2.1	6.0	16.0	23.8	27.2	28.1	19.6	9.7	0.5	-0.1
France	1964	0.3	-0.7	6.2	11.3	16.1	19.2	30.0	19.9	16.5	5.4	2.0	-3.3
France	1965	-0.8	-2.2	10.3	10.5	19.6	18.0	18.5	21.7	19.2	9.2	7.7	1.9
France	1966	-3.2	-0.6	8.2	11.3	16.6	20.5	24.5	23.4	10.9	12.4	9.7	-4.1
France	1967	-3.5	1.7	9.3	6.6	16.8	16.6	27.7	24.9	19.1	8.2	5.9	0.6
France	1968	-2.0	1.7	2.4	5.3	13.4	15.8	19.1	21.3	19.5	10.1	9.2	1.4
