tico;ppro;dpro;stat;desc;hist;autr;adrs;reg;dpt_lettre;commune;affe;wadrs;wcom;code_departement;ploc;dmaj;ref;insee;contact;sclx;coordonnees_ban
Ancienne église;Eglise (ancienne), y compris le clocher, la porte fortifiée des anciens remparts du Nord-Ouest et la croix en fer forgé à côté de cette porte : inscription par arrêté du 21 avril 1948;1948/04/21 : inscrit MH;"propriété de la commune ; propriété privée";;L'église fut consacrée par Dalmace, évêque de Narbonne, en 1088. Elle a été remplacée, probablement au 18e siècle, par une nouvelle église plus vaste, orientée sensiblement est-ouest. De l'ancien bâtiment est conservé le mur du fond qui supporte un clocher-mur, et une partie des murs latéraux, délimitant un vaste porche. Ces murs latéraux ont eux-mêmes été remontés en 1833, à la suite d'affaissements qui touchaient tout l'espace compris entre l'église et la terrasse du presbytère. La seule partie ancienne est donc le mur du clocher. Son élévation présente trois parties. A la base, jusqu'à mi-hauteur, le parement montre un appareil assez régulier, travaillé au marteau. Au-dessus, le mur a été surélevé, peut-être dans un dessein défensif, dans un appareil plus sommaire. Enfin, les arcades des cloches ont été construites en retrait, en moyen appareil, beaucoup plus tardivement. Le pignon supérieur est arrondi en forme de cloche. Il est peu probable que cette partie, qualifiée de romane, soit antérieure au 17e siècle. £Les fortifications sont mentionnées à partir de 1119. La porte fortifiée ne paraît pas être antérieure au 14e siècle. C'est une porte en arc brisé, constitué par 17 claveaux, dont une clef médiane. L'encadrement intérieur est chanfreiné. £La croix à proximité paraît dater de la Restauration. Socle carré, sans inscription, avec tablette moulurée. La croix est en fer forgé, constituée par deux fers qui se retournent pour former la traverse, sans s'entrecroiser à la croisée des bras. Cette partie est seulement entretoisée par des fers plus petits et par la torsade épineuse qui forme l'ornement central. Les extrémités sont trilobées. L'intérieur de ces trilobes est orné par des palmettes en tôle, avec volutes de base, esquissant une fleur de lys. Divers instruments de la Passion sont disposés entre les armatures : échelle, glaive, porte-éponge, tenailles, clous. Sur le haut de la croix est perché un coq en tôle.;;;Occitanie;Aude;Castelreng;;;Castelreng;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102636;11078;mediatheque.patrimoine@culture.gouv.fr;"12e s.;13e s.;19e s.";43.02109,2.129608
Ancien hôtel de Tapié;Fenêtre d'angle sur Pla de Monlaur et sur la Descente (cad. D 679) : inscription par arrêté du 10 avril 1948;1948/04/10 : inscrit MH;propriété privée;;D'après les plans féodaux de la directe de l'abbaye, cet immeuble a appartenu, à partir de 1662, à la famille Tapié qui a eu plusieurs notables. La maison comportait l'habitation, l'étable, l'écurie, le jardin et un patu. En haut du pilastre d'angle se détache du mur un cartouche en relief, aux bords contournés et enroulés en volutes. Ce cartouche était probablement armorié. Au premier étage, la fenêtre d'angle s'ouvrait sur chaque façade par une baie à meneau horizontal. Seul le meneau de gauche subsiste. La pierre d'appui est moulurée : cavet, gorge, filet, larmier, listel, filet, boudin. La corniche, très saillante, comprend un larmier et une doucine. Les montants verticaux comportent une mouluration saillante, avec doucine, et deux plates-bandes. Les bases sont ornées de feuillages, dont certains contournés comme à l'époque flamboyante.;;;Occitanie;Aude;Caunes-Minervois;;;Caunes-Minervois;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102644;11081;mediatheque.patrimoine@culture.gouv.fr;17e s.;43.338654,2.522329
Eglise Saint-Pierre;"Murs et voûtes de la nef et du sanctuaire ; sacristie et première chapelle au Sud ; pierres tombales de la famille de Siran ; modillons de la corniche extérieure de l'abside : inscription par arrêté du 27 avril 1948";1948/04/27 : inscrit MH;propriété de la commune;;L'église apparaît mentionnée dans les documents à partir de 1269. C'est un édifice roman à une nef, avec abside en cul de four, voûte en berceau sur la nef, datant probablement du 12e siècle. La sacristie actuelle est une chapelle ajoutée au 15e siècle. Deux autres chapelles ont été construites aux 15e et 16e siècles, au sud de la nef. L'ancien édifice avait un porche roman dont deux chapiteaux ont été inclus dans le clocher récent. En 1875, le conseil de Fabrique, constatant que l'église était trop petite pour les fidèles, demanda des crédits pour réaliser quatre chapelles, un baptistère et une tribune au fond de la nef ainsi qu'un clocher, l'église primitive n'en ayant pas. De nombreuses restaurations sont réalisées au 19e siècle à cause de la mauvaise assiette du terrain qui entraîne des tassements du sol et des mouvements de voûtes.;;;Occitanie;Aude;Cavanac;;;Cavanac;11;Anciennement région de : Languedoc-Roussillon;2019-11-05;PA00102648;11085;mediatheque.patrimoine@culture.gouv.fr;"12e s.;15e s.";43.167344,2.326089
Pont;Pont reliant le village à la R.N. 117 : inscription par arrêté du 14 avril 1948;1948/04/14 : inscrit MH;propriété de l'Etat;;La construction du pont doit être antérieure à 1603, date de sa restauration. Il s'agissait de reconstruire un pilier et l'arche du nord, avec une portée de 19 mètres. Il est probable que cette grande arche devait remplacer deux arches anciennes, de façon à améliorer le passage des eaux en temps de crue. Le pont est à trois arches inégales, la plus longue étant au nord. Piliers à éperons triangulaires. Les arches sont constituées par deux séries de voûtes. Une voûte inférieure, assez étroite, et qui correspond à l'ancienne largeur du passage. Des voûtes latérales, plus élevées, destinées à élargir le passage. Les voûtes et les murs sont entièrement en pierre d'appareil, avec voussoirs de tête beaucoup plus grand. Les voûtes latérales supérieures, visiblement plus récentes, comme le montrent leur patine et leur liaison anormale avec les éperons des piles, sont constituées par un appareil identique, avec cette différence que les parements des voussoirs de tête ont leurs joints ciselés.;;;Occitanie;Aude;Espéraza;;;Espéraza;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102680;11129;mediatheque.patrimoine@culture.gouv.fr;;42.933529,2.219605
Ancienne église Notre-Dame-des-Vals;Eglise Notre-Dame-des-Vals (ancienne) (cad. A 373) : inscription par arrêté du 7 février 1951;1951/02/07 : inscrit MH;propriété privée;;Un monastère de religieuses aurait été consacré en cet endroit par saint Rustique au 5e siècle. Desiderata, seconde femme de Charlemagne, répudiée en 771, se serait réfugié à Las Vals. Quelques colonnettes regroupées dans une grotte par un particulier, auraient été découvertes sur place et témoigneraient du monastère disparu. Le premier document certain mentionnant Notre-Dame des Vals n'est pas antérieur à 1404. C'était alors l'église paroissiale, celle de Saint-Luc, construite dans le village, n'étant devenue paroissiale qu'à la fin du 16e siècle. L'édifice roman est à une nef, entièrement voûtée en berceau légèrement brisé, avec doubleaux. L'abside, semi-circulaire, est couverte en demi-coupole. Une série d'arcatures aveugles repose sur quatre lesennes. Ces arcatures sont sextuples. Les supports intermédiaires sont des consoles parfois sculptées ou simplement moulurées. Un second rouleau, formant décor polychrome, entoure chacune des arcatures, avec alternance d'un élément allongé, en lave noire, et d'un petit cube de brique rouge. Décor de type lombard. Contre la face nord a été édifiée une sorte de grotte contenant les quatre colonnettes qui proviendraient de l'ancien cloître. Trois de ces colonnettes sont gothiques, à feuillages à crochets. La quatrième, romane, placée au-dessus des autres, a son chapiteau orné de deux oiseaux affrontés.;;;Occitanie;Aude;Ginestas;;;Ginestas;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102697;11164;mediatheque.patrimoine@culture.gouv.fr;"11e s.;12e s.";43.281344,2.884394
Ancien château;Tourelle (cad. A 27) : inscription par arrêté du 14 avril 1948;1948/04/14 : inscrit MH;propriété de la commune;;L'alleu de Lafage est cité en 960. Du château ruiné ne subsiste qu'une seule tourelle d'angle, acquise par la commune et transformée en réservoir d'eau. De plan circulaire, la construction est assez sommaire, avec seulement quelques assises de moyen appareil. Les amorces des courtines qui aboutissaient à la tour, en angle droit, se distinguent encore. Dans l'angle de ces murs, à la base de la tour, s'ouvrait la porte. L'appareil défensif se compose de six canonnières rectangulaires, inégalement réparties sur le pourtour et pratiquées à faible hauteur, ainsi que d'une bretèche. Au sommet, la corniche est profilée en quart-de-rond, entre deux filets. L'ancienne toiture a disparu. Il n'existe pas d'escalier intérieur.;;;Occitanie;Aude;Lafage;;;Lafage;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102709;11184;mediatheque.patrimoine@culture.gouv.fr;16e s.;43.163531,1.870848
Eglise Notre-Dame-de-Marceille;Eglise Notre-Dame-de-Marceille (cad. E 735) : inscription par arrêté du 27 septembre 1948;1948/09/27 : inscrit MH;propriété d'une société privée;;"L'église est citée en 1214. Il s'agissait d'une simple église rurale votive, avec prieuré uni d'abord au collège de Narbonne, à Paris, puis à celui des Doctrinaires de Limoux. La renommée de ce pèlerinage était due à l'existence d'une source voisine, réputée miraculeuse. Il s'agit d'un grand édifice rectangulaire à nef unique de cinq travées, séparées par des arcs doubleaux reposant sur des piliers peu saillants, avec dosserets. Plafonds voûtés modernes. Sanctuaire pentagonal étroit, encadré par deux absidioles également pentagonales. De part et d'autre de la première travée, deux chapelles latérales forment transept. Y sont suspendus de nombreux ex-votos. La tourelle-clocher s'élève au sud de la seconde travée à partir du choeur. Cette tourelle octogonale a été en grande partie reconstruite en 1885. Le porche présente un caractère monumental. Les piédroits de l'entrée extérieure se composent d'une série de boudins de diamètres inégaux, tous profilés en amande avec avant-bec méplat, et disposés suivant un double ébrasement. Les colonnettes possèdent des chapiteaux à bouquets de feuillage sur deux rangs. La porte qui s'ouvre sur la nef est séparée en deux parties par un trumeau orné d'une statue de la Vierge. Au revers, dans la nef, il porte un cartouche avec l'inscription ""Mater et Virgo"". Les longues fenêtres du sanctuaire sont à deux formes, séparées par un meneau très délié. Chaque forme tréflée est surmontée par un trilobe et un quatre-feuilles occupe la pointe. La rosace sud est composée de six quatre-feuilles entourant un quatre-feuilles qui occupe le centre. Les six écoinçons sont vidés et garnis de vitraux.";;;Occitanie;Aude;Limoux;;;Limoux;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102747;11206;mediatheque.patrimoine@culture.gouv.fr;"14e s.;19e s.";43.051111,2.239081
Vestiges de l'oppidum de Cayla;"Parcelle contenant des vestiges antiques de l'oppidum (cad. C 259) : classement par arrêté du 6 novembre 1961 ; Deux portions de terrains, délimités en rouge sur le plan de bornage, contenant une partie des vestiges antiques de l'oppidum (cad. C 596) : classement par arrêté du 21 novembre 1960 ; Parcelles contenant des vestiges de l'oppidum (cad. C 252, 254, 255, 257, 258, 260 à 271, 595) : classement par arrêté du 23 novembre 1960";"1961/11/06 : classé MH ; 1960/11/21 : classé MH ; 1960/11/23 : classé MH";;;;;;Occitanie;Aude;Mailhac;;;Mailhac;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102755;11212;mediatheque.patrimoine@culture.gouv.fr;"Age du bronze final;Age du fer 1;Age du fer 2;Gallo-romain";43.309296,2.833024
Chapelle Notre-Dame-de-Colombier;Chapelle Notre-Dame-de-Colombier : classement par arrêté du 26 juin 1950;1950/06/26 : classé MH;propriété de la commune;;L'édifice comprend une abside voûtée en cul de four, deux transepts et une nef de trois travées, voûtés en berceau, un clocher au sud et un porche au nord donnant dans le cimetière. Cette chapelle est le vestige d'un prieuré du 12e siècle. L'ensemble peut-être dater du 11e siècle, sauf le porche nord qui paraît dater de la fin du 12e siècle. A l'extérieur, l'abside et les transepts sont décorés de bandes lombardes. Les arcs des fenêtres sont surmontés d'un deuxième arc plus étroit. Il en est de même pour les arcatures qui décorent l'abside et les transepts, en grande partie en tuf. Elles reposent de deux en deux sur des piles, l'appui intermédiaire étant constitué par des corbeaux décorés de figures ou de dessins géométriques. Le clocher semble avoir été partiellement repris, sans doute au 12e siècle ou postérieurement, notamment l'arc de la tête de voûte inférieure et le dernier étage, comme semble l'indiquer le changement d'appareil. La partie supérieure des façades de la nef conserve la trace de la surélévation réalisée lorsque la tuile creuse a remplacé la lauze.;;;Occitanie;Aude;Montbrun-des-Corbières;;;Montbrun-des-Corbières;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102776;11241;mediatheque.patrimoine@culture.gouv.fr;"12e s.;15e s.";43.204377,2.679636
Maison romane;Façade sur rue : inscription par arrêté du 21 septembre 1934;1934/09/21 : inscrit MH;propriété privée;;La façade, entièrement en pierre de taille, comporte un rez-de-chaussée et un premier étage, séparés par un bandeau mouluré, ainsi qu'un deuxième étage bas formant grenier. Le rez-de-chaussée comportait une série d'arceaux à grands claveaux dont deux seuls sont ouverts actuellement. Le premier étage comportait une fenêtre à trois arcatures et deux colonnes intermédiaires, et une fenêtre à une seule arcature. Ce qu'on aperçoit des profils au premier étage paraît du 13e siècle.;;Marceau (rue) 20;Occitanie;Aude;Narbonne;;20 rue Marceau;Narbonne;11;Anciennement région de : Languedoc-Roussillon;2019-05-15;PA00102830;11262;mediatheque.patrimoine@culture.gouv.fr;13e s.;43.182501,3.001044
